train_loss,train_acc,test_loss,test_acc,train_precision,test_precision,train_recall,test_recall,train_confusion_matrix,test_confusion_matrix
0.46786729911745517,0.859341567788368,0.135832522213459,0.95125,0.8621275950367303,0.9525577080809422,0.8591253832499597,0.9496774193548387,"[[3229  256]
 [ 617 2095]]","[[859   6]
 [ 72 613]]"
0.08999133220460918,0.9682667525773195,0.07744025228545069,0.973125,0.9686241294630664,0.9733213305004379,0.9682104243989027,0.9722580645161291,"[[3439   46]
 [ 151 2561]]","[[863   2]
 [ 41 644]]"
0.06352323435784615,0.9782204337677494,0.04745389910414815,0.981875,0.978408301434175,0.9818106452887978,0.9782152654510247,0.9812903225806452,"[[3453   32]
 [ 103 2609]]","[[864   1]
 [ 28 657]]"
0.053032145722644385,0.9824085780976463,0.03546662515029311,0.99,0.9825262401618929,0.9898180925601995,0.9824108439567533,0.9896774193548387,"[[3458   27]
 [  82 2630]]","[[864   1]
 [ 15 670]]"
0.03184342174550768,0.9901405368605329,0.03467390149831772,0.988125,0.9902274524276629,0.9880054006714348,0.9901565273519445,0.987741935483871,"[[3475   10]
 [  51 2661]]","[[865   0]
 [ 19 666]]"
0.02483167484901922,0.992590206185567,0.022027410697191954,0.995625,0.9926271255735062,0.9955013740757706,0.9925770534129418,0.9954838709677419,"[[3479    6]
 [  40 2672]]","[[864   1]
 [  6 679]]"
0.03491411639405079,0.9903016193347597,0.02263221677392721,0.994375,0.990358459633379,0.9942283198062649,0.9903178957560109,0.9941935483870967,"[[3471   14]
 [  46 2666]]","[[864   1]
 [  8 677]]"
0.019658614314862134,0.9956507731958762,0.02153774481266737,0.994375,0.9956624725180053,0.9942533402229274,0.995643053090205,0.9941935483870967,"[[3482    3]
 [  24 2688]]","[[865   0]
 [  9 676]]"
0.01884969501256866,0.9956507731958762,0.021368201286531985,0.994375,0.9956624725180053,0.9942533402229274,0.995643053090205,0.9941935483870967,"[[3482    3]
 [  24 2688]]","[[865   0]
 [  9 676]]"
0.018343063863474375,0.9958118556701031,0.020628899782896042,0.995,0.9958220030373809,0.994886006725049,0.9958044214942714,0.9948387096774194,"[[3482    3]
 [  23 2689]]","[[865   0]
 [  8 677]]"
