,train_loss,train_acc,test_loss,test_acc,train_precision,test_precision,train_recall,test_recall,train_confusion_matrix,test_confusion_matrix
0,0.14887330829825163,0.9554875429553265,0.0314023110135267,0.9910102739726028,0.9611591930286141,0.9911186427034796,0.9554612367699995,0.9909755049419854,"[[10090   298    55    11]
 [  421  7694     9    35]
 [    0     0     0     0]
 [    0     0     0     0]]","[[2606    0]
 [  42 2006]]"
1,0.024616018581945013,0.9937603335926862,0.016501461392530073,0.9965753424657534,0.9938288099046586,0.9965830759331392,0.9937677967012303,0.9965620971207564,"[[10451     3]
 [  113  8046]]","[[2606    0]
 [  16 2032]]"
2,0.01633565684602855,0.9955859349672567,0.016004976779796593,0.9972174657534246,0.9956159145214821,0.9972205690687519,0.9955944769784559,0.9972067039106145,"[[10446     8]
 [   74  8085]]","[[2606    0]
 [  13 2035]]"
3,0.014098813785554096,0.9966709621993127,0.010511350706347252,0.9972174657534246,0.9966872991437977,0.9972205690687519,0.9966689947885886,0.9972067039106145,"[[10453     1]
 [   61  8098]]","[[2606    0]
 [  13 2035]]"
4,0.023014736485192866,0.9948990549828178,0.013056878687726965,0.9970034246575342,0.994911001394972,0.9970079091448872,0.9948960404018696,0.9969918349806618,"[[10435    19]
 [   76  8083]]","[[2606    0]
 [  14 2034]]"
5,0.01158085428813894,0.9969394329896907,0.008382244487707694,0.9972174657534246,0.9969542311689361,0.9972205690687519,0.9969376242411218,0.9972067039106145,"[[10454     0]
 [   57  8102]]","[[2606    0]
 [  13 2035]]"
6,0.011514708258966612,0.9969394329896907,0.016820629759235563,0.9982876712328768,0.9969506952465572,0.9982863093145927,0.9969376242411218,0.9982810485603781,"[[10451     3]
 [   54  8105]]","[[2606    0]
 [   8 2040]]"
7,0.009996428659978596,0.9971005154639175,0.01260663495277061,0.9976455479452054,0.9971083792060552,0.9976463764822221,0.9970988019126417,0.99763644177052,"[[10449     5]
 [   49  8110]]","[[2606    0]
 [  11 2037]]"
8,0.008281044228335423,0.9976374570446735,0.010141726442906137,0.9972174657534246,0.9976450271972972,0.9972205690687519,0.9976360608177081,0.9972067039106145,"[[10453     1]
 [   43  8116]]","[[2606    0]
 [  13 2035]]"
9,0.00720046912641438,0.9979059278350515,0.004634030249640278,0.9987157534246576,0.9979124780410848,0.9987137478603596,0.9979046902702412,0.9987107864202837,"[[10454     0]
 [   39  8120]]","[[2606    0]
 [   6 2042]]"
10,0.008655638703034521,0.9977448453608248,0.005317388059155161,0.9980736301369864,0.9977507931999277,0.9980728352263436,0.9977435125987213,0.9980661796304254,"[[10452     2]
 [   40  8119]]","[[2606    0]
 [   9 2039]]"
11,0.006821031180446579,0.9979596219931272,0.016647127784804754,0.9972174657534246,0.9979642365859733,0.9972205690687519,0.9979584161607479,0.9972067039106145,"[[10452     2]
 [   36  8123]]","[[2606    0]
 [  13 2035]]"
12,0.0052084626882199,0.9982280927835051,0.004902649612693943,0.9980736301369864,0.9982312697481541,0.9980728352263436,0.998227045613281,0.9980661796304254,"[[10452     2]
 [   31  8128]]","[[2606    0]
 [   9 2039]]"
13,0.004194706908218402,0.9988187285223368,0.0025082906217432557,0.9991438356164384,0.9988200527582416,0.9991418414843573,0.998818030408854,0.9991405242801891,"[[10453     1]
 [   21  8138]]","[[2606    0]
 [   4 2044]]"
14,0.01146791007401325,0.9973152920962199,0.0039414441244308325,0.9982876712328768,0.9973153157787975,0.9982863093145927,0.9973137054746682,0.9982810485603781,"[[10439    15]
 [   35  8124]]","[[2606    0]
 [   8 2040]]"
15,0.0035589653037107903,0.9988724226804123,0.00279077328773009,0.9991438356164384,0.9988735802731961,0.9991418414843573,0.9988717562993606,0.9991405242801891,"[[10453     1]
 [   20  8139]]","[[2606    0]
 [   4 2044]]"
16,0.0028350763792965336,0.9990871993127147,0.002094265371668321,0.9991438356164384,0.9990872328826854,0.9991418414843573,0.9990866598613872,0.9991405242801891,"[[10451     3]
 [   14  8145]]","[[2606    0]
 [   4 2044]]"
17,0.002298046074064378,0.9993556701030928,0.0014477297423646396,0.9997859589041096,0.9993557881635405,0.9997852134900436,0.9993552893139204,0.9997851310700473,"[[10453     1]
 [   11  8148]]","[[2606    0]
 [   1 2047]]"
18,0.002338205799923928,0.9993556701030928,0.001708580830416485,0.9995719178082192,0.9993555946796397,0.999570591693668,0.9993552893139204,0.9995702621400946,"[[10452     2]
 [   10  8149]]","[[2606    0]
 [   2 2046]]"
19,0.002146227401654648,0.9993556701030928,0.0012799845558089686,0.9995719178082192,0.9993554480603676,0.999570591693668,0.9993552893139204,0.9995702621400946,"[[10451     3]
 [    9  8150]]","[[2606    0]
 [   2 2046]]"
