train_loss,train_acc,test_loss,test_acc,train_precision,test_precision,train_recall,test_recall,train_confusion_matrix,test_confusion_matrix
0.33475368483395307,0.9150761038708422,0.05630470022559166,0.989375,0.9303733508603762,0.9892434150440216,0.9149588510569631,0.9890322580645161,"[[3196  222   66]
 [ 203 2474   36]
 [   0    0    0]]","[[866   0]
 [ 17 667]]"
0.05377471911692128,0.9846971649484536,0.032821650225669144,0.99125,0.9850769169103312,0.9911114369501467,0.984670001613684,0.9909677419354839,"[[3484    0]
 [  95 2618]]","[[866   0]
 [ 14 670]]"
0.040208882785440644,0.9887242268041238,0.026964210188016296,0.9925,0.988875331080751,0.9923638768462048,0.9887042117153462,0.9922580645161291,"[[3480    4]
 [  66 2647]]","[[866   0]
 [ 12 672]]"
0.028650932334430668,0.992590206185567,0.02100038780365139,0.99375,0.9926737830285238,0.9936220356458979,0.9925770534129418,0.9935483870967742,"[[3484    0]
 [  46 2667]]","[[866   0]
 [ 10 674]]"
0.02564017033833319,0.9942010309278351,0.019420160884037613,0.995,0.9942432740152474,0.9948859526094338,0.9941907374536065,0.9948387096774194,"[[3483    1]
 [  35 2678]]","[[866   0]
 [  8 676]]"
0.017971941350344762,0.9953286082474226,0.014737208429723979,0.99625,0.9953483558667034,0.9961556673572062,0.995320316282072,0.9961290322580645,"[[3482    2]
 [  27 2686]]","[[866   0]
 [  6 678]]"
0.016242551752492142,0.9959395059326979,0.025712002818472683,0.993125,0.9959816311380627,0.9929922389377276,0.995965789898338,0.9929032258064516,"[[3481    3]
 [  22 2691]]","[[866   0]
 [ 11 673]]"
0.019091975784286876,0.9948453608247423,0.022479873783886432,0.9975,0.9948714415594063,0.9974312198739341,0.9948362110698725,0.9974193548387097,"[[3482    2]
 [  30 2683]]","[[866   0]
 [  4 680]]"
0.013571407436513217,0.9971005154639175,0.013696074441540987,0.996875,0.9971102982993096,0.99679271138106,0.9970953687268033,0.9967741935483871,"[[3484    0]
 [  18 2695]]","[[866   0]
 [  5 679]]"
0.014588448536593093,0.9958118556701031,0.0180316179106012,0.99625,0.9958123161372292,0.9961556673572062,0.9958044214942714,0.9961290322580645,"[[3478    6]
 [  20 2693]]","[[866   0]
 [  6 678]]"
