train_loss,train_acc,test_loss,test_acc,train_precision,test_precision,train_recall,test_recall,train_confusion_matrix,test_confusion_matrix
0.5272272349018412,0.79596929099397,0.08449726039543748,0.971875,0.8286863144294107,0.9716121174288019,0.7957076004518315,0.9709677419354839,"[[2413 1080]
 [ 186 2518]]","[[850   7]
 [ 38 655]]"
0.07682080343173645,0.9730323623808598,0.06581249300390482,0.97875,0.9732374482873744,0.9781148729658363,0.9730514765208972,0.9780645161290322,"[[3446   47]
 [ 120 2584]]","[[845  12]
 [ 22 671]]"
0.05517151602783922,0.9803479381443299,0.04983449262566864,0.98375,0.9804933979829416,0.9837197238154386,0.980313054703889,0.983225806451613,"[[3466   27]
 [  95 2609]]","[[857   0]
 [ 26 667]]"
0.04503194884080248,0.9848582474226805,0.04056834510527551,0.98625,0.9849284523696167,0.9861616940071195,0.9848313700177506,0.9858064516129033,"[[3471   22]
 [  72 2632]]","[[857   0]
 [ 22 671]]"
0.03119749039382741,0.9901071046489011,0.030475614396855234,0.99125,0.9902351006767511,0.9911129217436392,0.9901565273519445,0.9909677419354839,"[[3484    9]
 [  52 2652]]","[[857   0]
 [ 14 679]]"
0.02476496711258114,0.9916237113402062,0.025388761390931904,0.9925,0.9916572389615558,0.9923649727161364,0.9916088429885428,0.9922580645161291,"[[3484    9]
 [  43 2661]]","[[857   0]
 [ 12 681]]"
0.02081806218184377,0.993395618556701,0.02094291147775948,0.993125,0.9934145867411724,0.9929931618849412,0.9933838954332742,0.9929032258064516,"[[3486    7]
 [  34 2670]]","[[857   0]
 [ 11 682]]"
0.018724238031337364,0.994973011087337,0.022780583784915508,0.993125,0.9950091902544735,0.9929931618849412,0.994997579473939,0.9929032258064516,"[[3486    7]
 [  24 2680]]","[[857   0]
 [ 11 682]]"
0.016166235254261373,0.9948453608247423,0.015328250955790282,0.995,0.994856862332442,0.9948644734288461,0.9948362110698725,0.9948387096774194,"[[3488    5]
 [  27 2677]]","[[856   1]
 [  7 686]]"
0.01337738422024035,0.9967783505154639,0.016097820663126185,0.993125,0.9967810635611678,0.9929931618849412,0.9967726319186703,0.9929032258064516,"[[3490    3]
 [  17 2687]]","[[857   0]
 [ 11 682]]"
